id,category,text,audio,status,note
golden_daily_0001,golden_anchor,如果你愿意的话，我们等一下再一起确认一次。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0001.wav,,
golden_daily_0002,daily,欸我刚到楼下，你不用急，慢慢来就好，我在这边等你。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0002.wav,,
golden_daily_0003,daily,你要喝什么？我等一下顺路买，珍奶半糖少冰可以吗？,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0003.wav,,
golden_daily_0004,daily,今天有点累欸，我们晚餐简单吃就好，不要跑太远。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0004.wav,,
golden_daily_0005,daily,我刚刚在开会没有看到讯息，不是故意不回你啦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0005.wav,,
golden_daily_0006,soft,没关系，你慢慢说，我有在听，想到哪里就先讲哪里。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0006.wav,,
golden_daily_0007,soft,我不是要你马上回答，只是想知道你心里真正的感觉。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0007.wav,,
golden_daily_0008,voice,卷舌不用太明显，尾音自然一点，像台湾女生平常聊天就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0008.wav,,
golden_daily_0009,voice,我想要的不是主播腔，也不是娃娃音，是温柔、聪明、真实的声音。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0009.wav,,
golden_daily_0010,voice,这句如果听起来舒服，后面做成手机模型才有意义。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0010.wav,,
golden_daily_0011,daily,今天先简单一点就好，晚餐我们吃简单一点，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0011.wav,,
golden_daily_0012,daily,我先把东西放好，这句话可以再讲清楚一点，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0012.wav,,
golden_daily_0013,daily,你慢慢说，讲话清楚但不要太用力，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0013.wav,,
golden_daily_0014,voice,我们晚一点再说，我们先确认最重要的那件事，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0014.wav,,
golden_daily_0015,daily,我刚刚在开会，你如果累了就先休息，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0015.wav,,
golden_daily_0016,daily,你先不用急，不用马上回我，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0016.wav,,
golden_daily_0017,daily,你先喝一点水，讲话清楚但不要太用力，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0017.wav,,
