role,source,clip,duration,rms_db,peak_db,silence_ratio,transcript
haibara,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/haibara/001_haibara_ep751_000047000_000051500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/haibara_001_haibara_ep751_000047000_000051500.wav,4.5,-20.0,-3.94,0.0,"是啊,当你来到博士家跟我们集合之前,大家先带着一起。"
haibara,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/haibara/002_haibara_ep751_000112000_000116500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/haibara_002_haibara_ep751_000112000_000116500.wav,4.5,-20.0,-1.05,0.0,受不了。我把改冒药找出来给你吃吧。
haibara,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/haibara/003_haibara_ep751_000134700_000139000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/haibara_003_haibara_ep751_000134700_000139000.wav,4.3,-20.0,-1.92,0.0,我只是为了以防不许咨询才把药给打开。
haibara,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/haibara/004_haibara_ep751_000143000_000148700.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/haibara_004_haibara_ep751_000143000_000148700.wav,5.7,-20.0,-4.01,0.0,不要我才不要把药交给一遍回原样就只顾着谈恋爱什么都不管的真谈
haibara,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/haibara/005_haibara_ep648_000915000_000918000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/haibara_005_haibara_ep648_000915000_000918000.wav,3.0,-20.0,-3.91,0.41,那个人的角怎么了吗?
haibara,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/haibara/006_haibara_ep648_001009000_001012000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/haibara_006_haibara_ep648_001009000_001012000.wav,3.0,-20.0,-6.97,0.0,女堂这边人也好多哦。
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/007_conan_ep751_000140000_000142800.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_007_conan_ep751_000140000_000142800.wav,2.8,-20.0,-6.15,0.0,那为了以防不时之需也给我那颗药吧。
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/008_conan_ep751_001509000_001516000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_008_conan_ep751_001509000_001516000.wav,7.0,-20.0,-4.45,0.0,"如果他是运动员,在手肘或是手上也应该会留下一些擦痕。常常跪地挣坐的人,"
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/009_conan_ep648_000023000_000025800.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_009_conan_ep648_000023000_000025800.wav,2.8,-20.0,-2.44,0.0,"嗯,话这么说也没错。"
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/010_conan_ep648_000101000_000104000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_010_conan_ep648_000101000_000104000.wav,3.0,-20.0,-7.08,0.0,本来一定又是什么无聊的八个人。
